('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1158513 function calls (1124402 primitive calls) in 3.667 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      396    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      396    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap>:304(acquire)
      396    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      396    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      396    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      396    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:74(__new__)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      396    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      396    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      396    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
      396    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      384    0.000    0.000    0.001    0.000 enum.py:1156(__new__)
      384    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      369    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      369    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      366    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
    359/7    0.005    0.000    1.036    0.148 <frozen importlib._bootstrap>:1349(_find_and_load)
      359    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      358    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
    357/6    0.003    0.000    1.035    0.173 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      357    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:420(__exit__)
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      357    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap>:416(__enter__)
      355    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      354    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
      353    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      352    0.005    0.000    0.143    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      352    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:982(find_spec)
      352    0.002    0.000    0.002    0.000 {built-in method _imp.is_builtin}
      349    0.001    0.000    1.334    0.004 ssl.py:1129(read)
      349    0.001    0.000    1.334    0.004 ssl.py:1278(recv)
      349    0.002    0.000    1.340    0.004 sync.py:124(read)
      349    0.000    0.000    0.001    0.000 _connection.py:364(receive_data)
      349    0.000    0.000    0.000    0.000 _receivebuffer.py:53(__iadd__)
      349    0.000    0.000    0.001    0.000 _receivebuffer.py:57(__bool__)
      349    1.333    0.004    1.333    0.004 {method 'read' of '_ssl._SSLSocket' objects}
      348    0.000    0.000    0.000    0.000 enum.py:1217(__init__)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
      345    0.000    0.000    0.003    0.000 typing.py:789(<genexpr>)
      341    0.002    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
      339    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      339    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      339    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
      339    0.001    0.000    0.001    0.000 {built-in method nt._path_splitroot}
      338    0.003    0.000    0.201    0.001 __init__.py:330(_compile)
      335    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
      332    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
    332/6    0.003    0.000    1.031    0.172 <frozen importlib._bootstrap>:911(_load_unlocked)
      332    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
  332/320    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      332    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      331    0.002    0.000    0.132    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      331    0.001    0.000    0.133    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
    330/1    0.017    0.000    3.668    3.668 {built-in method builtins.exec}
      329    0.000    0.000    0.201    0.001 __init__.py:287(compile)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      320    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
      317    0.001    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
      311    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
      311    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
      311    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
      311    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      307    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
      303    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
  303/297    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      302    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
      302    0.004    0.000    0.319    0.001 <frozen importlib._bootstrap_external>:1214(get_data)
      302    0.009    0.000    0.422    0.001 <frozen importlib._bootstrap_external>:1093(get_code)
      302    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1017(create_module)
