('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         910532 function calls (878176 primitive calls) in 3.060 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      302    0.010    0.000    0.010    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.010    0.010 models.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ssl.py:1(<module>)
      100    0.001    0.000    0.009    0.000 typing.py:753(Union)
     2775    0.005    0.000    0.009    0.000 __init__.py:735(string_container)
     5362    0.009    0.000    0.009    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.009    0.009 socket.py:1(<module>)
      770    0.002    0.000    0.008    0.000 filter.py:618(_attribute_match)
      302    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
     7656    0.006    0.000    0.008    0.000 __init__.py:91(_replace_charref)
     2663    0.006    0.000    0.008    0.000 __init__.py:812(pushTag)
       28    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
    28279    0.008    0.000    0.008    0.000 {method 'startswith' of 'str' objects}
       18    0.003    0.000    0.007    0.000 enum.py:1753(convert_class)
    21300    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
5486/5480    0.003    0.000    0.007    0.000 {built-in method builtins.getattr}
       12    0.002    0.000    0.007    0.001 enum.py:898(_convert_)
        1    0.000    0.000    0.007    0.007 from_thread.py:1(<module>)
        2    0.000    0.000    0.007    0.003 _eventloop.py:1(<module>)
    21571    0.007    0.000    0.007    0.000 _parser.py:239(__next)
        1    0.000    0.000    0.007    0.007 message.py:1(<module>)
    26036    0.007    0.000    0.007    0.000 {method 'endswith' of 'str' objects}
       28    0.007    0.000    0.007    0.000 {built-in method nt.listdir}
      316    0.001    0.000    0.006    0.000 _connection.py:410(_extract_next_receive_event)
      503    0.002    0.000    0.006    0.000 typing.py:173(_type_check)
      311    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.006    0.006 typing_extensions.py:1(<module>)
      396    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:162(__enter__)
      341    0.002    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
      129    0.002    0.000    0.006    0.000 _compiler.py:470(_get_charset_prefix)
    10918    0.004    0.000    0.006    0.000 _parser.py:255(match)
