('Total Revenue', '318,273,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1139846 function calls (1105635 primitive calls) in 3.588 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     9084    0.011    0.000    0.016    0.000 __init__.py:91(_replace_charref)
        2    0.000    0.000    0.016    0.008 models.py:1(<module>)
     4763    0.009    0.000    0.015    0.000 __init__.py:735(string_container)
    44/32    0.000    0.000    0.015    0.000 css_parser.py:579(parse_pseudo_class)
    40/31    0.000    0.000    0.015    0.000 css_parser.py:746(parse_pseudo_open)
        1    0.000    0.000    0.015    0.015 adapters.py:1(<module>)
      930    0.010    0.000    0.015    0.000 _compiler.py:241(_optimize_charset)
      273    0.001    0.000    0.014    0.000 response.py:619(_decode)
70883/70872    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
      274    0.002    0.000    0.014    0.000 response.py:137(decompress)
     4866    0.004    0.000    0.014    0.000 filter.py:540(matches_tag)
     9249    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
      202    0.001    0.000    0.014    0.000 _compiler.py:514(_compile_info)
      516    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.013    0.013 css_match.py:1(<module>)
      308    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.013    0.013 ssl.py:1(<module>)
    10147    0.003    0.000    0.013    0.000 {built-in method builtins.next}
     4602    0.010    0.000    0.012    0.000 __init__.py:812(pushTag)
5520/5490    0.010    0.000    0.012    0.000 {built-in method __new__ of type object at 0x00007FFF6C2F98A0}
    17695    0.007    0.000    0.012    0.000 _parser.py:260(get)
      288    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      312    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      333    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
